Model,Accuracy,Precision,Recall,F1 Score
XGBoost-NoScalingNoDimRed,0.9885106552866781,0.7862955032119915,0.23076923076923078,0.35681663589544266
XGBoos-NoScalingWithOversampling,0.942340597312392,0.9331051073279053,0.9530901619547982,0.9429917594928598
XGBoost-NoScalingWithUndersampling,0.884075730653759,0.8658536585365854,0.9080177078209543,0.8864345738295318
XGBoost-StandardScaling,0.9886368149239145,0.7890559732664996,0.23716258631512868,0.3647070180519355
XGBoost-MinMaxScaling,0.9869600226782215,0.704932735426009,0.09880578252671277,0.1733186328555678
XGBoost-StandardScalarOversampled,0.9371443683000258,0.9277282751630047,0.9482476189809483,0.9378757272209557
